accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall,learning_rate
0.6279537677764893,1.1930779218673706,0.689223051071167,0.5530417561531067,0.3687500059604645,32.373443603515625,0.3687500059604645,0.3687500059604645,0.0010000000474974513
0.65625,1.8505679368972778,0.7083333134651184,0.53125,0.42307692766189575,26.62895965576172,0.42307692766189575,0.42307692766189575,0.0010000000474974513
0.7435897588729858,0.7601491212844849,0.8022699952125549,0.6752136945724487,0.43958333134651184,88.5516586303711,0.4422222077846527,0.41458332538604736,0.0010000000474974513
0.65625,0.5705157518386841,0.7241379022598267,0.65625,0.692307710647583,54.11382293701172,0.692307710647583,0.692307710647583,0.0010000000474974513
0.8159879446029663,0.7704689502716064,0.8496406674385071,0.7727501392364502,0.5479166507720947,81.98281860351562,0.5504587292671204,0.5,0.0010000000474974513
0.75,0.6588056683540344,0.774193525314331,0.75,0.6153846383094788,103.1455307006836,0.625,0.5769230723381042,0.00020000000949949026
0.8763197660446167,0.39876827597618103,0.9056603908538818,0.8446455597877502,0.8687499761581421,1.4041883945465088,0.9200000166893005,0.8145833611488342,0.00020000000949949026
0.96875,0.14736375212669373,1.0,0.9375,0.8846153616905212,3.6450753211975098,0.9090909361839294,0.7692307829856873,0.00020000000949949026
0.9145299196243286,0.2539849579334259,0.9333333373069763,0.8939165472984314,0.8895833492279053,0.4387717545032501,0.9334862232208252,0.8479166626930237,0.00020000000949949026
0.90625,0.16088911890983582,0.9354838728904724,0.90625,0.8846153616905212,0.5911152362823486,0.9130434989929199,0.807692289352417,0.00020000000949949026
0.918552041053772,0.22926630079746246,0.9306058883666992,0.9034690856933594,0.9041666388511658,0.2877129018306732,0.9361233711242676,0.8854166865348816,0.00020000000949949026
0.96875,0.14883218705654144,0.96875,0.96875,0.8846153616905212,0.22776056826114655,0.8799999952316284,0.8461538553237915,0.00020000000949949026
0.9311211705207825,0.20622216165065765,0.9476954936981201,0.9200603365898132,0.918749988079071,0.2708319425582886,0.9320175647735596,0.8854166865348816,0.00020000000949949026
0.875,0.29129281640052795,0.9333333373069763,0.875,0.9615384340286255,0.1512553095817566,0.9615384340286255,0.9615384340286255,0.00020000000949949026
0.9421820044517517,0.15358702838420868,0.9532853960990906,0.9336349964141846,0.918749988079071,0.24706918001174927,0.9353448152542114,0.9041666388511658,0.00020000000949949026
0.9375,0.14825549721717834,1.0,0.9375,0.8846153616905212,0.18053972721099854,0.8846153616905212,0.8846153616905212,0.00020000000949949026
0.9431875348091125,0.1516629457473755,0.9561629891395569,0.9321267008781433,0.9312499761581421,0.22759374976158142,0.9405519962310791,0.9229166507720947,0.00020000000949949026
1.0,0.03880130499601364,1.0,0.96875,0.8846153616905212,0.201248437166214,0.9200000166893005,0.8846153616905212,4.0000002627493814e-05
0.9612870812416077,0.12176834046840668,0.9687820076942444,0.9517345428466797,0.9354166388511658,0.23418228328227997,0.9447982907295227,0.9270833134651184,4.0000002627493814e-05
